Date,Service_Name,Service_Type,CPU_Usage,Memory_Usage,Storage_Usage,Network_Usage,Status
2026-06-01,Cloud Service 1,Compute,61,44,65,16,Maintenance
2026-06-02,Cloud Service 2,Storage,29,37,61,84,Active
2026-06-03,Cloud Service 3,Database,27,89,42,14,Active
2026-06-04,Cloud Service 4,Backup,31,80,68,18,Active
2026-06-05,Cloud Service 5,Networking,50,36,85,64,Active
2026-06-06,Cloud Service 6,Compute,27,40,43,84,Active
2026-06-07,Cloud Service 7,Storage,27,75,21,38,Active
2026-06-08,Cloud Service 8,Database,25,42,52,63,Active
2026-06-09,Cloud Service 9,Backup,38,40,88,49,Active
2026-06-10,Cloud Service 10,Networking,91,48,28,84,Maintenance
2026-06-11,Cloud Service 11,Compute,93,49,62,22,Active
2026-06-12,Cloud Service 12,Storage,90,33,87,17,Active
2026-06-13,Cloud Service 13,Database,46,88,83,64,Active
2026-06-14,Cloud Service 14,Backup,60,84,89,68,Active
2026-06-15,Cloud Service 15,Networking,66,63,46,33,Active
2026-06-16,Cloud Service 1,Compute,51,35,88,48,Active
2026-06-17,Cloud Service 2,Storage,87,88,58,67,Active
2026-06-18,Cloud Service 3,Database,56,34,30,75,Active
2026-06-19,Cloud Service 4,Backup,73,46,58,29,Maintenance
2026-06-20,Cloud Service 5,Networking,82,78,20,19,Active
2026-06-21,Cloud Service 6,Compute,91,65,58,54,Active
2026-06-22,Cloud Service 7,Storage,83,83,23,21,Active
2026-06-23,Cloud Service 8,Database,54,85,23,17,Active
2026-06-24,Cloud Service 9,Backup,59,82,51,59,Active
2026-06-25,Cloud Service 10,Networking,64,27,74,55,Active
2026-06-26,Cloud Service 11,Compute,41,39,78,17,Active
2026-06-27,Cloud Service 12,Storage,47,61,31,41,Active
2026-06-28,Cloud Service 13,Database,70,75,78,20,Maintenance
2026-06-29,Cloud Service 14,Backup,41,82,66,80,Active
2026-06-30,Cloud Service 15,Networking,55,42,70,80,Active
2026-07-01,Cloud Service 1,Compute,55,78,60,58,Active
2026-07-02,Cloud Service 2,Storage,49,44,25,32,Active
2026-07-03,Cloud Service 3,Database,39,54,44,11,Active
2026-07-04,Cloud Service 4,Backup,82,48,48,46,Active
2026-07-05,Cloud Service 5,Networking,20,43,68,78,Active
2026-07-06,Cloud Service 6,Compute,67,65,31,75,Active
2026-07-07,Cloud Service 7,Storage,26,83,86,60,Maintenance
2026-07-08,Cloud Service 8,Database,70,76,65,23,Active
2026-07-09,Cloud Service 9,Backup,81,76,22,34,Active
2026-07-10,Cloud Service 10,Networking,28,51,71,30,Active
2026-07-11,Cloud Service 11,Compute,34,68,21,23,Active
2026-07-12,Cloud Service 12,Storage,20,44,83,22,Active
